frame,timecode,name,X,Y,Z,min,max
42,00:00:01.400,trunk.003,178.719,0.425,1.517,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
42,00:00:01.400,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
43,00:00:01.433,trunk.002,176.720,0.913,15.528,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
43,00:00:01.433,trunk.003,178.705,0.528,1.880,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
43,00:00:01.433,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
44,00:00:01.467,trunk.002,176.762,1.053,17.998,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
44,00:00:01.467,trunk.003,178.689,0.628,2.236,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
44,00:00:01.467,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
45,00:00:01.500,trunk.002,176.810,1.189,20.424,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
45,00:00:01.500,trunk.003,178.670,0.726,2.583,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
45,00:00:01.500,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
46,00:00:01.533,trunk.002,176.862,1.321,22.802,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
46,00:00:01.533,trunk.003,178.648,0.821,2.920,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
46,00:00:01.533,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
47,00:00:01.567,trunk.002,176.918,1.447,25.125,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
47,00:00:01.567,trunk.003,178.625,0.913,3.246,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
47,00:00:01.567,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
48,00:00:01.600,trunk.002,176.977,1.568,27.390,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
48,00:00:01.600,trunk.003,178.600,1.003,3.560,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
48,00:00:01.600,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
49,00:00:01.633,trunk.002,177.040,1.683,29.593,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
49,00:00:01.633,trunk.003,178.573,1.088,3.861,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
49,00:00:01.633,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
50,00:00:01.667,trunk.002,177.105,1.792,31.730,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
50,00:00:01.667,trunk.003,178.544,1.171,4.150,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
50,00:00:01.667,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
51,00:00:01.700,trunk.002,177.171,1.896,33.798,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
51,00:00:01.700,trunk.003,178.514,1.250,4.425,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
51,00:00:01.700,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
52,00:00:01.733,trunk.002,177.239,1.993,35.795,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
52,00:00:01.733,trunk.003,178.483,1.325,4.686,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
52,00:00:01.733,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
53,00:00:01.767,trunk.002,177.307,2.085,37.718,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
53,00:00:01.767,trunk.003,178.452,1.397,4.934,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
53,00:00:01.767,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
54,00:00:01.800,trunk.002,177.376,2.170,39.565,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
54,00:00:01.800,trunk.003,178.420,1.464,5.167,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
54,00:00:01.800,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
55,00:00:01.833,trunk.002,177.444,2.250,41.335,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
55,00:00:01.833,trunk.003,178.387,1.528,5.387,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
55,00:00:01.833,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
56,00:00:01.867,trunk.002,177.512,2.325,43.027,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
56,00:00:01.867,trunk.003,178.355,1.589,5.593,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
56,00:00:01.867,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
57,00:00:01.900,trunk.002,177.578,2.394,44.638,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
57,00:00:01.900,trunk.003,178.323,1.645,5.786,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
57,00:00:01.900,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
58,00:00:01.933,trunk.002,177.643,2.458,46.169,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
58,00:00:01.933,trunk.003,178.291,1.698,5.966,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
58,00:00:01.933,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
59,00:00:01.967,trunk.002,177.706,2.516,47.619,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
59,00:00:01.967,trunk.003,178.260,1.748,6.133,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
59,00:00:01.967,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
60,00:00:02.000,trunk.002,177.767,2.570,48.988,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
60,00:00:02.000,trunk.003,178.229,1.794,6.287,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
60,00:00:02.000,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
61,00:00:02.033,trunk.002,177.825,2.620,50.275,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
61,00:00:02.033,trunk.003,178.199,1.836,6.430,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
61,00:00:02.033,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
62,00:00:02.067,trunk.002,177.880,2.665,51.481,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
